,0,1,2,3,4,5,6,7,8
0,bay leaves,bacon,,,,,,,
1,broth,bacon,,,,,,,
2,bacon,garlic,,,,,,,
3,bacon,mushrooms,,,,,,,
4,bacon,parsley,,,,,,,
5,wine,bacon,,,,,,,
6,bay leaves,broth,,,,,,,
7,bay leaves,parsley,,,,,,,
8,bay leaves,wine,,,,,,,
9,crepes,berries,,,,,,,
10,berries,mediterranean cheese,,,,,,,
11,crepes,mediterranean cheese,,,,,,,
12,mushrooms,garlic,,,,,,,
13,lemon,pasta,,,,,,,
14,wine,parsley,,,,,,,
15,bay leaves,bacon,broth,,,,,,
16,bay leaves,bacon,garlic,,,,,,
17,bay leaves,bacon,mushrooms,,,,,,
18,bay leaves,bacon,onion,,,,,,
19,bay leaves,bacon,parsley,,,,,,
20,bay leaves,bacon,thyme,,,,,,
21,bay leaves,bacon,wine,,,,,,
22,broth,bacon,garlic,,,,,,
23,broth,bacon,mushrooms,,,,,,
24,broth,bacon,onion,,,,,,
25,broth,bacon,parsley,,,,,,
26,broth,bacon,thyme,,,,,,
27,broth,bacon,wine,,,,,,
28,bacon,mushrooms,garlic,,,,,,
29,bacon,onion,garlic,,,,,,
30,bacon,garlic,parsley,,,,,,
31,thyme,bacon,garlic,,,,,,
32,wine,bacon,garlic,,,,,,
33,bacon,mushrooms,onion,,,,,,
34,bacon,mushrooms,parsley,,,,,,
35,thyme,bacon,mushrooms,,,,,,
36,wine,bacon,mushrooms,,,,,,
37,bacon,onion,parsley,,,,,,
38,wine,bacon,onion,,,,,,
39,thyme,bacon,parsley,,,,,,
40,wine,bacon,parsley,,,,,,
41,thyme,bacon,wine,,,,,,
42,bay leaves,garlic,broth,,,,,,
43,bay leaves,mushrooms,broth,,,,,,
44,bay leaves,onion,broth,,,,,,
45,bay leaves,parsley,broth,,,,,,
46,bay leaves,thyme,broth,,,,,,
47,bay leaves,wine,broth,,,,,,
48,bay leaves,mushrooms,garlic,,,,,,
49,bay leaves,garlic,parsley,,,,,,
50,bay leaves,thyme,garlic,,,,,,
51,bay leaves,wine,garlic,,,,,,
52,bay leaves,mushrooms,parsley,,,,,,
53,bay leaves,mushrooms,thyme,,,,,,
54,bay leaves,wine,mushrooms,,,,,,
55,bay leaves,onion,parsley,,,,,,
56,bay leaves,onion,wine,,,,,,
57,bay leaves,thyme,parsley,,,,,,
58,bay leaves,wine,parsley,,,,,,
59,bay leaves,wine,thyme,,,,,,
60,crepes,berries,mediterranean cheese,,,,,,
61,broth,mushrooms,garlic,,,,,,
62,broth,garlic,parsley,,,,,,
63,broth,wine,garlic,,,,,,
64,broth,mushrooms,parsley,,,,,,
65,broth,wine,mushrooms,,,,,,
66,broth,thyme,parsley,,,,,,
67,broth,wine,parsley,,,,,,
68,broth,wine,thyme,,,,,,
69,onion,mushrooms,garlic,,,,,,
70,mushrooms,garlic,parsley,,,,,,
71,thyme,mushrooms,garlic,,,,,,
72,wine,mushrooms,garlic,,,,,,
73,wine,garlic,parsley,,,,,,
74,wine,mushrooms,parsley,,,,,,
75,wine,onion,parsley,,,,,,
76,thyme,wine,parsley,,,,,,
77,bay leaves,bacon,garlic,broth,,,,,
78,bay leaves,bacon,mushrooms,broth,,,,,
79,bay leaves,bacon,onion,broth,,,,,
80,bay leaves,bacon,parsley,broth,,,,,
81,bay leaves,bacon,thyme,broth,,,,,
82,bay leaves,bacon,wine,broth,,,,,
83,bay leaves,bacon,mushrooms,garlic,,,,,
84,bay leaves,bacon,onion,garlic,,,,,
85,bay leaves,bacon,garlic,parsley,,,,,
86,bay leaves,bacon,thyme,garlic,,,,,
87,bay leaves,bacon,garlic,wine,,,,,
88,bay leaves,bacon,mushrooms,onion,,,,,
89,bay leaves,bacon,mushrooms,parsley,,,,,
90,bay leaves,bacon,mushrooms,thyme,,,,,
91,bay leaves,bacon,mushrooms,wine,,,,,
92,bay leaves,bacon,onion,parsley,,,,,
93,bay leaves,bacon,onion,thyme,,,,,
94,bay leaves,bacon,onion,wine,,,,,
95,bay leaves,bacon,thyme,parsley,,,,,
96,bay leaves,bacon,wine,parsley,,,,,
97,bay leaves,bacon,thyme,wine,,,,,
98,broth,bacon,mushrooms,garlic,,,,,
99,broth,bacon,onion,garlic,,,,,
100,broth,bacon,garlic,parsley,,,,,
101,broth,bacon,thyme,garlic,,,,,
102,broth,bacon,garlic,wine,,,,,
103,broth,bacon,mushrooms,onion,,,,,
104,broth,bacon,mushrooms,parsley,,,,,
105,broth,bacon,mushrooms,thyme,,,,,
106,broth,bacon,mushrooms,wine,,,,,
107,broth,bacon,onion,parsley,,,,,
108,broth,bacon,onion,thyme,,,,,
109,broth,bacon,onion,wine,,,,,
110,broth,bacon,thyme,parsley,,,,,
111,broth,bacon,wine,parsley,,,,,
112,broth,bacon,thyme,wine,,,,,
113,onion,bacon,mushrooms,garlic,,,,,
114,bacon,mushrooms,garlic,parsley,,,,,
115,thyme,bacon,mushrooms,garlic,,,,,
116,wine,bacon,mushrooms,garlic,,,,,
117,bacon,onion,garlic,parsley,,,,,
118,thyme,bacon,onion,garlic,,,,,
119,wine,bacon,onion,garlic,,,,,
120,thyme,bacon,garlic,parsley,,,,,
121,wine,bacon,garlic,parsley,,,,,
122,thyme,bacon,garlic,wine,,,,,
123,bacon,mushrooms,onion,parsley,,,,,
124,thyme,bacon,mushrooms,onion,,,,,
125,wine,bacon,mushrooms,onion,,,,,
126,thyme,bacon,mushrooms,parsley,,,,,
127,wine,bacon,mushrooms,parsley,,,,,
128,thyme,bacon,mushrooms,wine,,,,,
129,thyme,bacon,onion,parsley,,,,,
130,wine,bacon,onion,parsley,,,,,
131,thyme,bacon,onion,wine,,,,,
132,thyme,bacon,wine,parsley,,,,,
133,bay leaves,mushrooms,garlic,broth,,,,,
134,bay leaves,onion,garlic,broth,,,,,
135,bay leaves,garlic,parsley,broth,,,,,
136,bay leaves,thyme,garlic,broth,,,,,
137,bay leaves,wine,garlic,broth,,,,,
138,bay leaves,onion,mushrooms,broth,,,,,
139,bay leaves,mushrooms,parsley,broth,,,,,
140,bay leaves,mushrooms,thyme,broth,,,,,
141,bay leaves,wine,mushrooms,broth,,,,,
142,bay leaves,onion,parsley,broth,,,,,
143,bay leaves,onion,thyme,broth,,,,,
144,bay leaves,onion,wine,broth,,,,,
145,bay leaves,thyme,parsley,broth,,,,,
146,bay leaves,wine,parsley,broth,,,,,
147,bay leaves,wine,thyme,broth,,,,,
148,bay leaves,onion,mushrooms,garlic,,,,,
149,bay leaves,mushrooms,garlic,parsley,,,,,
150,bay leaves,mushrooms,garlic,thyme,,,,,
151,bay leaves,wine,mushrooms,garlic,,,,,
152,bay leaves,onion,garlic,parsley,,,,,
153,bay leaves,onion,thyme,garlic,,,,,
154,bay leaves,onion,garlic,wine,,,,,
155,bay leaves,thyme,garlic,parsley,,,,,
156,bay leaves,wine,garlic,parsley,,,,,
157,bay leaves,wine,thyme,garlic,,,,,
158,bay leaves,onion,mushrooms,parsley,,,,,
159,bay leaves,onion,mushrooms,thyme,,,,,
160,bay leaves,onion,mushrooms,wine,,,,,
161,bay leaves,mushrooms,thyme,parsley,,,,,
162,bay leaves,wine,mushrooms,parsley,,,,,
163,bay leaves,wine,mushrooms,thyme,,,,,
164,bay leaves,onion,thyme,parsley,,,,,
165,bay leaves,onion,wine,parsley,,,,,
166,bay leaves,onion,thyme,wine,,,,,
167,bay leaves,wine,thyme,parsley,,,,,
168,broth,onion,mushrooms,garlic,,,,,
169,broth,mushrooms,garlic,parsley,,,,,
170,broth,mushrooms,garlic,thyme,,,,,
171,broth,wine,mushrooms,garlic,,,,,
172,broth,onion,garlic,parsley,,,,,
173,broth,onion,garlic,wine,,,,,
174,broth,thyme,garlic,parsley,,,,,
175,broth,wine,garlic,parsley,,,,,
176,broth,wine,thyme,garlic,,,,,
177,broth,onion,mushrooms,parsley,,,,,
178,broth,onion,mushrooms,wine,,,,,
179,broth,mushrooms,thyme,parsley,,,,,
180,broth,wine,mushrooms,parsley,,,,,
181,broth,wine,mushrooms,thyme,,,,,
182,broth,onion,thyme,parsley,,,,,
183,broth,onion,wine,parsley,,,,,
184,broth,onion,thyme,wine,,,,,
185,broth,wine,thyme,parsley,,,,,
186,onion,mushrooms,garlic,parsley,,,,,
187,thyme,onion,mushrooms,garlic,,,,,
188,wine,onion,mushrooms,garlic,,,,,
189,thyme,mushrooms,garlic,parsley,,,,,
190,wine,mushrooms,garlic,parsley,,,,,
191,thyme,wine,mushrooms,garlic,,,,,
192,wine,onion,garlic,parsley,,,,,
193,thyme,wine,garlic,parsley,,,,,
194,wine,onion,mushrooms,parsley,,,,,
195,thyme,wine,mushrooms,parsley,,,,,
196,thyme,onion,wine,parsley,,,,,
197,broth,bay leaves,garlic,bacon,mushrooms,,,,
198,broth,bay leaves,onion,garlic,bacon,,,,
199,broth,parsley,bay leaves,garlic,bacon,,,,
200,broth,bay leaves,thyme,garlic,bacon,,,,
201,broth,bay leaves,wine,garlic,bacon,,,,
202,broth,bay leaves,onion,bacon,mushrooms,,,,
203,broth,parsley,bay leaves,bacon,mushrooms,,,,
204,broth,bay leaves,thyme,bacon,mushrooms,,,,
205,broth,bay leaves,wine,bacon,mushrooms,,,,
206,broth,parsley,bay leaves,onion,bacon,,,,
207,broth,bay leaves,thyme,onion,bacon,,,,
208,broth,bay leaves,wine,onion,bacon,,,,
209,broth,parsley,bay leaves,thyme,bacon,,,,
210,broth,parsley,bay leaves,wine,bacon,,,,
211,broth,bay leaves,wine,thyme,bacon,,,,
212,bay leaves,onion,garlic,bacon,mushrooms,,,,
213,parsley,bay leaves,garlic,bacon,mushrooms,,,,
214,bay leaves,thyme,garlic,bacon,mushrooms,,,,
215,bay leaves,wine,garlic,bacon,mushrooms,,,,
216,parsley,bay leaves,onion,garlic,bacon,,,,
217,bay leaves,thyme,onion,garlic,bacon,,,,
218,bay leaves,wine,onion,garlic,bacon,,,,
219,parsley,bay leaves,thyme,garlic,bacon,,,,
220,parsley,bay leaves,wine,garlic,bacon,,,,
221,bay leaves,wine,thyme,garlic,bacon,,,,
222,parsley,bay leaves,onion,bacon,mushrooms,,,,
223,bay leaves,thyme,onion,bacon,mushrooms,,,,
224,bay leaves,wine,onion,bacon,mushrooms,,,,
225,parsley,bay leaves,thyme,bacon,mushrooms,,,,
226,parsley,bay leaves,wine,bacon,mushrooms,,,,
227,bay leaves,wine,thyme,bacon,mushrooms,,,,
228,parsley,bay leaves,thyme,onion,bacon,,,,
229,parsley,bay leaves,wine,onion,bacon,,,,
230,bay leaves,wine,thyme,onion,bacon,,,,
231,parsley,bay leaves,wine,thyme,bacon,,,,
232,broth,onion,garlic,bacon,mushrooms,,,,
233,broth,parsley,garlic,bacon,mushrooms,,,,
234,broth,thyme,garlic,bacon,mushrooms,,,,
235,broth,wine,garlic,bacon,mushrooms,,,,
236,broth,parsley,onion,garlic,bacon,,,,
237,broth,thyme,onion,garlic,bacon,,,,
238,broth,wine,onion,garlic,bacon,,,,
239,broth,parsley,thyme,garlic,bacon,,,,
240,broth,parsley,wine,garlic,bacon,,,,
241,broth,wine,thyme,garlic,bacon,,,,
242,broth,parsley,onion,bacon,mushrooms,,,,
243,broth,thyme,onion,bacon,mushrooms,,,,
244,broth,wine,onion,bacon,mushrooms,,,,
245,broth,parsley,thyme,bacon,mushrooms,,,,
246,broth,parsley,wine,bacon,mushrooms,,,,
247,broth,wine,thyme,bacon,mushrooms,,,,
248,broth,parsley,thyme,onion,bacon,,,,
249,broth,parsley,wine,onion,bacon,,,,
250,broth,wine,thyme,onion,bacon,,,,
251,broth,parsley,wine,thyme,bacon,,,,
252,parsley,onion,garlic,bacon,mushrooms,,,,
253,thyme,onion,garlic,bacon,mushrooms,,,,
254,wine,onion,garlic,bacon,mushrooms,,,,
255,parsley,thyme,garlic,bacon,mushrooms,,,,
256,parsley,wine,garlic,bacon,mushrooms,,,,
257,wine,thyme,garlic,bacon,mushrooms,,,,
258,parsley,thyme,onion,garlic,bacon,,,,
259,parsley,wine,onion,garlic,bacon,,,,
260,wine,thyme,onion,garlic,bacon,,,,
261,parsley,wine,thyme,garlic,bacon,,,,
262,parsley,thyme,onion,bacon,mushrooms,,,,
263,parsley,wine,onion,bacon,mushrooms,,,,
264,wine,thyme,onion,bacon,mushrooms,,,,
265,parsley,wine,thyme,bacon,mushrooms,,,,
266,parsley,wine,thyme,onion,bacon,,,,
267,broth,bay leaves,onion,garlic,mushrooms,,,,
268,broth,parsley,bay leaves,garlic,mushrooms,,,,
269,broth,bay leaves,thyme,garlic,mushrooms,,,,
270,broth,bay leaves,wine,garlic,mushrooms,,,,
271,broth,parsley,bay leaves,onion,garlic,,,,
272,broth,bay leaves,thyme,onion,garlic,,,,
273,broth,bay leaves,wine,onion,garlic,,,,
274,broth,parsley,bay leaves,thyme,garlic,,,,
275,broth,parsley,bay leaves,wine,garlic,,,,
276,broth,bay leaves,wine,thyme,garlic,,,,
277,broth,parsley,bay leaves,onion,mushrooms,,,,
278,broth,bay leaves,thyme,onion,mushrooms,,,,
279,broth,bay leaves,wine,onion,mushrooms,,,,
280,broth,parsley,bay leaves,thyme,mushrooms,,,,
281,broth,parsley,bay leaves,wine,mushrooms,,,,
282,broth,bay leaves,wine,thyme,mushrooms,,,,
283,broth,parsley,bay leaves,thyme,onion,,,,
284,broth,parsley,bay leaves,wine,onion,,,,
285,broth,bay leaves,wine,thyme,onion,,,,
286,broth,parsley,bay leaves,wine,thyme,,,,
287,parsley,bay leaves,onion,garlic,mushrooms,,,,
288,bay leaves,thyme,onion,garlic,mushrooms,,,,
289,bay leaves,wine,onion,garlic,mushrooms,,,,
290,parsley,bay leaves,thyme,garlic,mushrooms,,,,
291,parsley,bay leaves,wine,garlic,mushrooms,,,,
292,bay leaves,wine,thyme,garlic,mushrooms,,,,
293,parsley,bay leaves,thyme,onion,garlic,,,,
294,parsley,bay leaves,wine,onion,garlic,,,,
295,bay leaves,wine,thyme,onion,garlic,,,,
296,parsley,bay leaves,wine,thyme,garlic,,,,
297,parsley,bay leaves,thyme,onion,mushrooms,,,,
298,parsley,bay leaves,wine,onion,mushrooms,,,,
299,bay leaves,wine,thyme,onion,mushrooms,,,,
300,parsley,bay leaves,wine,thyme,mushrooms,,,,
301,parsley,bay leaves,wine,thyme,onion,,,,
302,broth,parsley,onion,garlic,mushrooms,,,,
303,broth,thyme,onion,garlic,mushrooms,,,,
304,broth,wine,onion,garlic,mushrooms,,,,
305,broth,parsley,thyme,garlic,mushrooms,,,,
306,broth,parsley,wine,garlic,mushrooms,,,,
307,broth,wine,thyme,garlic,mushrooms,,,,
308,broth,parsley,thyme,onion,garlic,,,,
309,broth,parsley,wine,onion,garlic,,,,
310,broth,wine,thyme,onion,garlic,,,,
311,broth,parsley,wine,thyme,garlic,,,,
312,broth,parsley,thyme,onion,mushrooms,,,,
313,broth,parsley,wine,onion,mushrooms,,,,
314,broth,wine,thyme,onion,mushrooms,,,,
315,broth,parsley,wine,thyme,mushrooms,,,,
316,broth,parsley,wine,thyme,onion,,,,
317,parsley,thyme,onion,garlic,mushrooms,,,,
318,parsley,wine,onion,garlic,mushrooms,,,,
319,wine,thyme,onion,garlic,mushrooms,,,,
320,parsley,wine,thyme,garlic,mushrooms,,,,
321,parsley,wine,thyme,onion,garlic,,,,
322,parsley,wine,thyme,onion,mushrooms,,,,
323,broth,bay leaves,onion,garlic,bacon,mushrooms,,,
324,broth,parsley,bay leaves,garlic,bacon,mushrooms,,,
325,broth,bay leaves,thyme,garlic,bacon,mushrooms,,,
326,broth,bay leaves,wine,garlic,bacon,mushrooms,,,
327,broth,parsley,bay leaves,onion,garlic,bacon,,,
328,broth,bay leaves,thyme,onion,garlic,bacon,,,
329,broth,bay leaves,wine,onion,garlic,bacon,,,
330,broth,parsley,bay leaves,thyme,garlic,bacon,,,
331,broth,parsley,bay leaves,wine,garlic,bacon,,,
332,broth,bay leaves,wine,thyme,garlic,bacon,,,
333,broth,parsley,bay leaves,onion,bacon,mushrooms,,,
334,broth,bay leaves,thyme,onion,bacon,mushrooms,,,
335,broth,bay leaves,wine,onion,bacon,mushrooms,,,
336,broth,parsley,bay leaves,thyme,bacon,mushrooms,,,
337,broth,parsley,bay leaves,wine,bacon,mushrooms,,,
338,broth,bay leaves,wine,thyme,bacon,mushrooms,,,
339,broth,parsley,bay leaves,thyme,onion,bacon,,,
340,broth,parsley,bay leaves,wine,onion,bacon,,,
341,broth,bay leaves,wine,thyme,onion,bacon,,,
342,broth,parsley,bay leaves,wine,thyme,bacon,,,
343,parsley,bay leaves,onion,garlic,bacon,mushrooms,,,
344,bay leaves,thyme,onion,garlic,bacon,mushrooms,,,
345,bay leaves,wine,onion,garlic,bacon,mushrooms,,,
346,parsley,bay leaves,thyme,garlic,bacon,mushrooms,,,
347,parsley,bay leaves,wine,garlic,bacon,mushrooms,,,
348,bay leaves,wine,thyme,garlic,bacon,mushrooms,,,
349,parsley,bay leaves,thyme,onion,garlic,bacon,,,
350,parsley,bay leaves,wine,onion,garlic,bacon,,,
351,bay leaves,wine,thyme,onion,garlic,bacon,,,
352,parsley,bay leaves,wine,thyme,garlic,bacon,,,
353,parsley,bay leaves,thyme,onion,bacon,mushrooms,,,
354,parsley,bay leaves,wine,onion,bacon,mushrooms,,,
355,bay leaves,wine,thyme,onion,bacon,mushrooms,,,
356,parsley,bay leaves,wine,thyme,bacon,mushrooms,,,
357,parsley,bay leaves,wine,thyme,onion,bacon,,,
358,broth,parsley,onion,garlic,bacon,mushrooms,,,
359,broth,thyme,onion,garlic,bacon,mushrooms,,,
360,broth,wine,onion,garlic,bacon,mushrooms,,,
361,broth,parsley,thyme,garlic,bacon,mushrooms,,,
362,broth,parsley,wine,garlic,bacon,mushrooms,,,
363,broth,wine,thyme,garlic,bacon,mushrooms,,,
364,broth,parsley,thyme,onion,garlic,bacon,,,
365,broth,parsley,wine,onion,garlic,bacon,,,
366,broth,wine,thyme,onion,garlic,bacon,,,
367,broth,parsley,wine,thyme,garlic,bacon,,,
368,broth,parsley,thyme,onion,bacon,mushrooms,,,
369,broth,parsley,wine,onion,bacon,mushrooms,,,
370,broth,wine,thyme,onion,bacon,mushrooms,,,
371,broth,parsley,wine,thyme,bacon,mushrooms,,,
372,broth,parsley,wine,thyme,onion,bacon,,,
373,parsley,thyme,onion,garlic,bacon,mushrooms,,,
374,parsley,wine,onion,garlic,bacon,mushrooms,,,
375,wine,thyme,onion,garlic,bacon,mushrooms,,,
376,parsley,wine,thyme,garlic,bacon,mushrooms,,,
377,parsley,wine,thyme,onion,garlic,bacon,,,
378,parsley,wine,thyme,onion,bacon,mushrooms,,,
379,broth,parsley,bay leaves,onion,garlic,mushrooms,,,
380,broth,bay leaves,thyme,onion,garlic,mushrooms,,,
381,broth,bay leaves,wine,onion,garlic,mushrooms,,,
382,broth,parsley,bay leaves,thyme,garlic,mushrooms,,,
383,broth,parsley,bay leaves,wine,garlic,mushrooms,,,
384,broth,bay leaves,wine,thyme,garlic,mushrooms,,,
385,broth,parsley,bay leaves,thyme,onion,garlic,,,
386,broth,parsley,bay leaves,wine,onion,garlic,,,
387,broth,bay leaves,wine,thyme,onion,garlic,,,
388,broth,parsley,bay leaves,wine,thyme,garlic,,,
389,broth,parsley,bay leaves,thyme,onion,mushrooms,,,
390,broth,parsley,bay leaves,wine,onion,mushrooms,,,
391,broth,bay leaves,wine,thyme,onion,mushrooms,,,
392,broth,parsley,bay leaves,wine,thyme,mushrooms,,,
393,broth,parsley,bay leaves,wine,thyme,onion,,,
394,parsley,bay leaves,thyme,onion,garlic,mushrooms,,,
395,parsley,bay leaves,wine,onion,garlic,mushrooms,,,
396,bay leaves,wine,thyme,onion,garlic,mushrooms,,,
397,parsley,bay leaves,wine,thyme,garlic,mushrooms,,,
398,parsley,bay leaves,wine,thyme,onion,garlic,,,
399,parsley,bay leaves,wine,thyme,onion,mushrooms,,,
400,broth,parsley,thyme,onion,garlic,mushrooms,,,
401,broth,parsley,wine,onion,garlic,mushrooms,,,
402,broth,wine,thyme,onion,garlic,mushrooms,,,
403,broth,parsley,wine,thyme,garlic,mushrooms,,,
404,broth,parsley,wine,thyme,onion,garlic,,,
405,broth,parsley,wine,thyme,onion,mushrooms,,,
406,parsley,wine,thyme,onion,garlic,mushrooms,,,
407,broth,parsley,bay leaves,onion,garlic,bacon,mushrooms,,
408,broth,bay leaves,thyme,onion,garlic,bacon,mushrooms,,
409,broth,bay leaves,wine,onion,garlic,bacon,mushrooms,,
410,broth,parsley,bay leaves,thyme,garlic,bacon,mushrooms,,
411,broth,parsley,bay leaves,wine,garlic,bacon,mushrooms,,
412,broth,bay leaves,wine,thyme,garlic,bacon,mushrooms,,
413,broth,parsley,bay leaves,thyme,onion,garlic,bacon,,
414,broth,parsley,bay leaves,wine,onion,garlic,bacon,,
415,broth,bay leaves,wine,thyme,onion,garlic,bacon,,
416,broth,parsley,bay leaves,wine,thyme,garlic,bacon,,
417,broth,parsley,bay leaves,thyme,onion,bacon,mushrooms,,
418,broth,parsley,bay leaves,wine,onion,bacon,mushrooms,,
419,broth,bay leaves,wine,thyme,onion,bacon,mushrooms,,
420,broth,parsley,bay leaves,wine,thyme,bacon,mushrooms,,
421,broth,parsley,bay leaves,wine,thyme,onion,bacon,,
422,parsley,bay leaves,thyme,onion,garlic,bacon,mushrooms,,
423,parsley,bay leaves,wine,onion,garlic,bacon,mushrooms,,
424,bay leaves,wine,thyme,onion,garlic,bacon,mushrooms,,
425,parsley,bay leaves,wine,thyme,garlic,bacon,mushrooms,,
426,parsley,bay leaves,wine,thyme,onion,garlic,bacon,,
427,parsley,bay leaves,wine,thyme,onion,bacon,mushrooms,,
428,broth,parsley,thyme,onion,garlic,bacon,mushrooms,,
429,broth,parsley,wine,onion,garlic,bacon,mushrooms,,
430,broth,wine,thyme,onion,garlic,bacon,mushrooms,,
431,broth,parsley,wine,thyme,garlic,bacon,mushrooms,,
432,broth,parsley,wine,thyme,onion,garlic,bacon,,
433,broth,parsley,wine,thyme,onion,bacon,mushrooms,,
434,parsley,wine,thyme,onion,garlic,bacon,mushrooms,,
435,broth,parsley,bay leaves,thyme,onion,garlic,mushrooms,,
436,broth,parsley,bay leaves,wine,onion,garlic,mushrooms,,
437,broth,bay leaves,wine,thyme,onion,garlic,mushrooms,,
438,broth,parsley,bay leaves,wine,thyme,garlic,mushrooms,,
439,broth,parsley,bay leaves,wine,thyme,onion,garlic,,
440,broth,parsley,bay leaves,wine,thyme,onion,mushrooms,,
441,parsley,bay leaves,wine,thyme,onion,garlic,mushrooms,,
442,broth,parsley,wine,thyme,onion,garlic,mushrooms,,
443,broth,parsley,bay leaves,thyme,onion,garlic,bacon,mushrooms,
444,broth,parsley,bay leaves,wine,onion,garlic,bacon,mushrooms,
445,broth,bay leaves,wine,thyme,onion,garlic,bacon,mushrooms,
446,broth,parsley,bay leaves,wine,thyme,garlic,bacon,mushrooms,
447,broth,parsley,bay leaves,wine,thyme,onion,garlic,bacon,
448,broth,parsley,bay leaves,wine,thyme,onion,bacon,mushrooms,
449,parsley,bay leaves,wine,thyme,onion,garlic,bacon,mushrooms,
450,broth,parsley,wine,thyme,onion,garlic,bacon,mushrooms,
451,broth,parsley,bay leaves,wine,thyme,onion,garlic,mushrooms,
452,broth,parsley,bay leaves,wine,thyme,onion,garlic,bacon,mushrooms
