recipe_name,cuisine_SP,aisle_SP,ingredients_SP
Salmon With Orange Salsa and Pomegranate Glaze,['Mexican'],"['Ethnic Foods;Health Foods', 'Produce', 'Produce', 'Ethnic Foods;Baking', 'Spices and Seasonings', 'Produce', 'Produce;Spices and Seasonings', 'Produce', 'Beverages', 'Produce', 'Beverages', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Alcoholic Beverages', 'Cheese', 'Produce', 'Seafood', 'Produce', 'Produce']","['agave', 'avocado', 'bell pepper', 'cornmeal', 'cumin seeds', 'fennel', 'cilantro', 'garlic', 'juice', 'lime juice', 'orange juice', 'kosher salt', 'kosher salt', 'kosher salt', 'navel orange', 'olive oil', 'persian cucumber', 'port', 'queso fresco', 'red onion', 'salmon', 'serrano pepper', 'tomato']"
Skirt Steak Fajitas,['Mexican'],"['Produce', 'Baking', 'Oil, Vinegar, Salad Dressing', 'Spices and Seasonings', 'Produce;Spices and Seasonings', 'Spices and Seasonings', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Produce', 'Produce', 'Produce', 'Pasta and Rice;Ethnic Foods', 'Meat', 'Milk, Eggs, Other Dairy', 'Ethnic Foods;Condiments', 'Produce']","['bell pepper', 'golden brown sugar', 'cooking oil', 'chili powder', 'cilantro', 'cumin', 'flour tortilla', 'garlic', 'lime juice', 'lime wedge', 'salsa', 'skirt steak', 'sour cream', 'soy sauce', 'white onion']"
Chicken Burritos,['Mexican'],"['Produce', 'Meat', 'Produce;Spices and Seasonings', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Produce', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce']","['avocado', 'chicken meat', 'cilantro', 'flour tortilla', 'lemon juice', 'onion', 'black pepper', 'salt', 'tomato']"
Crockpot Garlic Lime Salsa Meatball Tacos,['Mexican'],"['Milk, Eggs, Other Dairy', 'Produce', 'Meat', 'Produce', 'Pasta and Rice;Ethnic Foods', 'Spices and Seasonings', 'Savory Snacks', 'Bakery/Bread;Pasta and Rice;Ethnic Foods']","['egg', 'garlic', 'ground chuck', 'lime peel', 'picante sauce', 'salt', 'scoops tortilla chips', 'tortilla']"
Spiced Chicken With Black Bean and Mango Salsa,['Mexican'],"['Meat', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce;Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Oil, Vinegar, Salad Dressing', 'Pasta and Rice;Ethnic Foods', 'Pasta and Rice;Canned and Jarred', 'Produce', 'Produce;Ethnic Foods;Spices and Seasonings', 'Produce', 'Produce', 'Produce', 'Produce', 'Produce', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Spices and Seasonings']","['boneless skinless chicken thighs', 'cumin', 'black pepper', 'kosher salt', 'oregano', 'dried thyme', 'chili powder', 'ground cayenne pepper', 'paprika', 'olive oil', 'salsa', 'black beans', 'garlic', 'ginger', 'tomato', 'persian cucumber', 'mango', 'red onion', 'serrano pepper', 'lime peel', 'olive oil', 'kosher salt']"
Quick Chicken Enchilada Soup,['Mexican'],"['Produce', 'Canned and Jarred', 'Canned and Jarred', 'Meat', 'Pasta and Rice;Ethnic Foods', 'Canned and Jarred', 'Milk, Eggs, Other Dairy', 'Savory Snacks', 'Cheese']","['whole kernel corn', 'canned black beans', 'canned tomatoes', 'whole chicken', 'green enchilada sauce', 'condensed cream of mushroom soup', 'milk', 'corn tortilla chips', 'shredded cheese']"
Mexican Pork and Rice,['Mexican'],"['Canned and Jarred', 'Canned and Jarred', 'Canned and Jarred', 'Spices and Seasonings', 'Produce;Spices and Seasonings', 'Spices and Seasonings', 'Produce', 'Produce', 'Produce', 'Produce', 'Produce', 'Meat', 'Pasta and Rice', 'Pasta and Rice;Ethnic Foods', 'Spices and Seasonings']","['canned black beans', 'canned diced tomatoes', 'chicken stock', 'chili powder', 'cilantro', 'cumin', 'garlic', 'green pepper', 'green chili pepper', 'lime juice', 'onion', 'pork chops', 'rice', 'salsa', 'salt']"
Enchilada Stuffed Spaghetti Squash,['Mexican'],"['Produce', 'Canned and Jarred', 'Canned and Jarred', 'Produce', 'Pasta and Rice;Ethnic Foods', 'Produce;Spices and Seasonings', 'Cheese', 'Meat', 'Produce']","['avocado', 'black olives', 'canned black beans', 'corn', 'green enchilada sauce', 'cilantro', 'low fat shredded cheddar', 'rotisserie chicken', 'spaghetti squash']"
Vegetarian Tostadas With Spicy Black Beans (+gluten free),['Mexican'],"['Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Canned and Jarred', 'Produce', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Ethnic Foods', 'Produce', 'Spices and Seasonings', 'Produce', 'Cheese', 'Milk, Eggs, Other Dairy', 'Pasta and Rice;Ethnic Foods']","['white corn tortilla', 'canned black beans', 'onion', 'garlic', 'olive oil', 'adobo sauce', 'spinach', 'coarse sea salt', 'cherry tomato', 'feta cheese', 'sour cream', 'salsa']"
Mango Guacamole,['Mexican'],"['Produce', 'Produce', 'Produce', 'Produce', 'Produce', 'Produce']","['avocado', 'mango', 'red onion', 'serrano pepper', 'garlic', 'lime juice']"
Mixed Bean Vegetarian Enchilada,['Mexican'],"['Oil, Vinegar, Salad Dressing', 'Produce', 'Produce', 'Spices and Seasonings', 'Produce', 'Beverages', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Milk, Eggs, Other Dairy', 'Cheese']","['olive oil', 'onion', 'carrot', 'chili powder', 'tomato', 'water', 'tortilla', 'low fat yogurt', 'extra sharp cheddar cheese']"
Slow Cooker Mexican Chicken Soup,['Mexican'],"['Canned and Jarred', 'Produce', 'Produce', 'Produce', 'Canned and Jarred', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Meat', 'Spices and Seasonings', 'Cheese', 'Produce', 'Produce', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce']","['canned black beans', 'onion', 'green chili pepper', 'garlic', 'chicken broth', 'sweet potato', 'cumin', 'chili powder', 'boneless skinless chicken thighs', 'salt and pepper', 'cheddar cheese', 'avocado', 'spring onions', 'jalapeno pepper', 'lime wedge']"
Slow Cooker Chicken Verde Enchilada,['Mexican'],"['Produce', 'Meat', 'Spices and Seasonings', 'Produce;Spices and Seasonings', 'Spices and Seasonings', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Milk, Eggs, Other Dairy', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Cheese', 'Cheese', 'Produce', 'Beverages']","['avocado', 'whole chicken', 'chili powder', 'cilantro', 'cumin', 'flour tortilla', 'garlic', 'garlic powder', 'garlic powder', 'ground coriander', 'jalapeno pepper', 'lime juice', 'fat free greek yogurt', 'onion', 'onion powder', 'black pepper', 'black pepper', 'shredded cheddar cheese', 'shredded mexican cheese blend', 'tomatillos', 'water']"
Chilled Avocado and Cucumber Soup With Prawn and Scallop Salsa,['Mexican'],"['Produce', 'Spices and Seasonings', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Beverages', 'Produce', 'Produce', 'Produce', 'Ethnic Foods', 'Produce', 'Beverages', 'Seafood', 'Seafood', 'Canned and Jarred', 'Produce', 'Produce;Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Oil, Vinegar, Salad Dressing;Health Foods']","['shallot', 'red pepper flakes', 'lime peel', 'grape seed oil', 'water', 'avocado', 'cucumber', 'spring onions', 'miso', 'lime', 'water', 'shrimp', 'scallops', 'black olives', 'orange', 'cilantro', 'coarse sea salt', 'black pepper', 'rice bran oil']"
Mexican Carnitas,['Mexican'],"['Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Produce;Spices and Seasonings', 'Produce', 'Refrigerated', 'Frozen', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Produce', 'Meat', 'Spices and Seasonings', 'Cheese']","['flour tortilla', 'cilantro', 'garlic', 'guacamole', 'ice', 'lemon', 'cooking oil', 'orange', 'bell pepper', 'beef shoulder roast', 'salt', 'shredded cheddar cheese']"
Mexican Stuffed Potatoes,['Mexican'],"['Meat', 'Pasta and Rice;Ethnic Foods', 'Produce', 'Cheese', 'Produce', 'Produce', 'Produce', 'Milk, Eggs, Other Dairy']","['95 percent lean ground beef', 'salsa', 'yukon gold potato', 'low fat shredded cheddar', 'italian tomato', 'spring onions', 'avocado', 'sour cream']"
Fresh Mango Salsa,['Mexican'],"['Produce', 'Produce', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Produce', 'Baking', 'Produce;Spices and Seasonings', 'Spices and Seasonings', 'Produce']","['mango', 'peach', 'jalapeno pepper', 'garlic', 'red onion', 'sugar', 'cilantro', 'salt', 'lime juice']"
Authentic Chicken Enchiladas,['Mexican'],"['Meat', 'Spices and Seasonings', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Spices and Seasonings', 'Pasta and Rice;Ethnic Foods', 'Spices and Seasonings', 'Produce', 'Canned and Jarred;Produce;Ethnic Foods', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Spices and Seasonings', 'Cheese']","['chicken breast', 'chili powder', 'white corn tortilla', 'cumin', 'green enchilada sauce', 'garlic powder', 'green chili pepper', 'jalapeno pepper', 'olive oil', 'onion', 'salt and pepper', 'shredded mexican cheese blend']"
Zesty Taco Casserole,['Mexican'],"['Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Meat', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce', 'Canned and Jarred;Produce;Ethnic Foods', 'Ethnic Foods;Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Canned and Jarred', 'Canned and Jarred', 'Pasta and Rice;Ethnic Foods', 'Canned and Jarred;Ethnic Foods', 'Milk, Eggs, Other Dairy', 'Savory Snacks', 'Cheese', 'Produce', 'Produce']","['white corn tortilla', 'ground chuck', 'salt', 'black pepper', 'onion', 'jalapeno pepper', 'taco seasoning mix', 'chili powder', 'onion powder', 'canned green chiles', 'olives', 'salsa', 'refried beans', 'sour cream', 'corn tortilla chips', 'sharp cheddar cheese', 'avocado', 'cherry tomato']"
How to Make a Chicken Taco Crock Pot,['Mexican'],"['Meat', 'Produce', 'Produce', 'Canned and Jarred', 'Canned and Jarred', 'Ethnic Foods;Spices and Seasonings']","['chicken breast', 'white onion', 'whole kernel corn', 'canned black beans', 'canned tomatoes', 'taco seasoning mix']"
New Mexican Red Bean Chili,['Mexican'],"['Canned and Jarred', 'Canned and Jarred', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Meat', 'Produce;Spices and Seasonings', 'Produce', 'Canned and Jarred', 'Produce']","['beef broth', 'canned kidney beans', 'chili pepper', 'dried cilantro', 'allspice', 'cumin', '95 percent lean ground beef', 'oregano', 'red onion', 'roasted red peppers', 'tomato']"
Chicken and Black Bean Burritos,['Mexican'],"['Ethnic Foods', 'Meat', 'Canned and Jarred', 'Pasta and Rice;Canned and Jarred', 'Baking', 'Oil, Vinegar, Salad Dressing', 'Produce;Spices and Seasonings', 'Produce', 'Spices and Seasonings', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Beverages', 'Spices and Seasonings', 'Produce', 'Produce']","['burrito size tortilla', 'chicken breast halves', 'chicken broth', 'black beans', 'corn starch', 'extra virgin olive oil', 'cilantro', 'garlic', 'black pepper', 'jalapeno pepper', 'lime juice', 'orange juice', 'kosher salt', 'onion', 'chili pepper']"
Paprika and Coriander Rubbed Steaks With Orange-Coriander Salsa,['Mexican'],"['Meat', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Produce', 'Produce', 'Produce;Spices and Seasonings', 'Oil, Vinegar, Salad Dressing', 'Spices and Seasonings', 'Spices and Seasonings']","['steak', 'paprika', 'ground coriander', 'black pepper', 'salt', 'olive oil', 'navel orange', 'garlic', 'spring onions', 'cilantro', 'olive oil', 'red pepper flakes', 'salt and pepper']"
Blueberry Ginger Salsa with Grilled Halibut,['Mexican'],"['Produce', 'Produce;Ethnic Foods;Spices and Seasonings', 'Produce;Spices and Seasonings', 'Nut butters, Jams, and Honey', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Spices and Seasonings', 'Produce']","['blueberries', 'ginger', 'mint', 'honey', 'lemon', 'olive oil', 'salt and pepper', 'shallot']"
Pork Carnitas Tacos,['Mexican'],"['Beverages', 'Meat', 'Produce', 'Spices and Seasonings', 'Oil, Vinegar, Salad Dressing', 'Beverages', 'Milk, Eggs, Other Dairy', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Pasta and Rice;Ethnic Foods', 'Produce', 'Produce;Spices and Seasonings', 'Produce', 'Produce']","['water', 'boston butt', 'garlic', 'coarse sea salt', 'olive oil', 'orange juice', 'milk', 'white corn tortilla', 'salsa', 'avocado', 'cilantro', 'onion', 'lime']"
Vegetarian Enchilada Stuffed Peppers,['Mexican'],"['Pasta and Rice;Health Foods', 'Produce', 'Produce;Spices and Seasonings', 'Produce', 'Canned and Jarred;Ethnic Foods', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Produce', 'Canned and Jarred;Ethnic Foods', 'Spices and Seasonings', 'Pasta and Rice', 'Spices and Seasonings', 'Spices and Seasonings', 'Frozen', 'Cheese']","['quinoa', 'lime juice', 'cilantro', 'poblano pepper', 'refried beans', 'olive oil', 'yellow onion', 'garlic', 'canned chipotle chile', 'cumin', 'canned tomato sauce', 'kosher salt', 'black pepper', 'frozen corn', 'colby jack']"
Turkey Chorizo and Potato Tacos,['Mexican'],"['Produce', 'Spices and Seasonings', 'Meat', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce', 'Canned and Jarred;Ethnic Foods', 'Spices and Seasonings', 'Produce;Spices and Seasonings', 'Oil, Vinegar, Salad Dressing', 'Oil, Vinegar, Salad Dressing', 'Bakery/Bread;Pasta and Rice;Ethnic Foods']","['potato', 'salt', 'ground turkey', 'black pepper', 'smoked paprika', 'paprika', 'garlic', 'canned chipotle chile', 'ground coriander', 'oregano', 'apple cider vinegar', 'vegetable oil', 'white corn tortilla']"
Skillet Enchilada Dinner,['Mexican'],"['Spices and Seasonings', 'Canned and Jarred', 'Produce', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Produce;Spices and Seasonings', 'Produce', 'Produce', 'Spices and Seasonings', 'Meat', 'Cheese', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Produce', 'Spices and Seasonings', 'Ethnic Foods;Spices and Seasonings']","['black pepper', 'canned tomatoes', 'cherry tomato', 'white corn tortilla', 'cilantro', 'garlic', 'green chili pepper', 'cumin', 'ground turkey', 'monterey jack cheese', 'olive oil', 'onion', 'romaine', 'salt', 'taco seasoning mix']"
Spicy Coconut Chicken With Mango Basil Salsa,['Mexican'],"['Produce', 'Produce', 'Canned and Jarred;Milk, Eggs, Other Dairy', 'Baking', 'Produce', 'Produce', 'Produce;Ethnic Foods;Spices and Seasonings', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Spices and Seasonings', 'Produce', 'Produce', 'Spices and Seasonings', 'Produce', 'Meat', 'Ethnic Foods;Condiments', 'Oil, Vinegar, Salad Dressing']","['fresh basil', 'bell pepper', 'coconut milk', 'dark brown sugar', 'fresh basil', 'garlic', 'ginger', 'jalapeno pepper', 'lime juice', 'kosher salt', 'lime peel', 'mango', 'salt', 'spring onions', 'boneless skinless chicken breast', 'soy sauce', 'vegetable oil']"
Katie's Unforgettable Salsa,['Mexican'],"['Produce', 'Produce', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Produce;Spices and Seasonings', 'Canned and Jarred', 'Pasta and Rice', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Baking']","['green pepper', 'onion', 'jalapeno pepper', 'garlic', 'cilantro', 'canned tomatoes', 'tomato paste', 'salt', 'black pepper', 'italian seasoning', 'sugar']"
Sausage and Egg Breakfast Burrito,['Mexican'],"['Meat', 'Produce', 'Produce', 'Produce', 'Canned and Jarred;Produce;Ethnic Foods', 'Spices and Seasonings', 'Produce;Spices and Seasonings', 'Spices and Seasonings', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Milk, Eggs, Other Dairy', 'Milk, Eggs, Other Dairy', 'Condiments']","['ground pork sausage', 'white onion', 'garlic', 'peppers', 'jalapeno pepper', 'kosher salt', 'oregano', 'black pepper', 'flour tortilla', 'egg', 'butter', 'sriracha']"
Easy and Delicious Taco Soup,['Mexican'],"['Meat', 'Produce', 'Canned and Jarred', 'Canned and Jarred', 'Produce', 'Pasta and Rice', 'Canned and Jarred', 'Canned and Jarred', 'Canned and Jarred', 'Ethnic Foods;Spices and Seasonings', 'Spices and Seasonings', 'Produce;Spices and Seasonings', 'Cheese', 'Savory Snacks', 'Milk, Eggs, Other Dairy']","['ground turkey', 'onion', 'canned pinto beans', 'canned kidney beans', 'corn', 'canned tomato sauce', 'canned diced tomatoes', 'canned green chiles', 'olives', 'taco seasoning mix', 'ground cayenne pepper', 'cilantro', 'cheese', 'corn tortilla chips', 'sour cream']"
Crock Pot Beef and Bean Burritos,['Mexican'],"['Meat', 'Ethnic Foods;Spices and Seasonings', 'Produce', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Pasta and Rice;Canned and Jarred', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Cheese', 'Produce', 'Canned and Jarred', 'Milk, Eggs, Other Dairy']","['round tip steak', 'taco seasoning mix', 'onion', 'jalapeno pepper', 'garlic', 'distilled white vinegar', 'black beans', 'flour tortilla', 'monterey jack cheese', 'tomato', 'black olives', 'sour cream']"
Grilled Swordfish With Melon-Mint Salsa,['Mexican'],"['Seafood', 'Produce', 'Produce;Spices and Seasonings', 'Produce', 'Produce', 'Nut butters, Jams, and Honey', 'Milk, Eggs, Other Dairy', 'Spices and Seasonings', 'Spices and Seasonings']","['swordfish', 'cantaloupe', 'mint', 'fresh basil', 'lime juice', 'honey', 'butter', 'salt and pepper', 'garlic salt']"
Kogi Kimchi Quesadillas,['Mexican'],"['Frozen;Meat', 'Milk, Eggs, Other Dairy', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Spices and Seasonings', 'Produce', 'Ethnic Foods', 'Oil, Vinegar, Salad Dressing', 'Spices and Seasonings', 'Ethnic Foods;Spices and Seasonings', 'Cheese']","['beef', 'butter', 'flour tortilla', 'garlic powder', 'spring onions', 'kimchi', 'olive oil', 'salt and pepper', 'sesame seeds', 'sharp cheddar cheese']"
Catfish Tacos With Pimento Cheese Crema and Watermelon Salsa,['Mexican'],"['Produce', 'Spices and Seasonings', 'Milk, Eggs, Other Dairy', 'Oil, Vinegar, Salad Dressing', 'Seafood', 'Spices and Seasonings', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Cheese', 'Milk, Eggs, Other Dairy', 'Produce;Spices and Seasonings', 'Produce', 'Produce', 'Produce', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce', 'Condiments', 'Cheese', 'Spices and Seasonings', 'Produce', 'Produce', 'Produce', 'Produce', 'Produce', 'Cheese', 'Condiments', 'Condiments', 'Produce', 'Produce', 'Ethnic Foods;Baking']","['avocado', 'black pepper', 'buttermilk', 'cooking oil', 'catfish', 'celery seed', 'white corn tortilla', 'cream cheese', 'mexican crema', 'cilantro', 'garlic', 'garlic', 'lime juice', 'lime juice', 'kosher salt', 'kosher salt', 'lemon peel', 'mayonnaise', 'mozzarella', 'paprika', 'persian cucumber', 'pimiento', 'red onion', 'red onion', 'serrano pepper', 'shredded mexican cheese blend', 'sriracha', 'hot sauce', 'tomato', 'watermelon', 'cornmeal']"
Chipotle Chicken Enchiladas,['Mexican'],"['Oil, Vinegar, Salad Dressing', 'Baking', 'Spices and Seasonings', 'Spices and Seasonings', 'Pasta and Rice', 'Produce', 'Meat', 'Spices and Seasonings', 'Produce', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Canned and Jarred', 'Canned and Jarred;Ethnic Foods', 'Canned and Jarred', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Cheese', 'Produce;Spices and Seasonings']","['vegetable oil', 'wheat flour', 'chili powder', 'cumin', 'canned tomato sauce', 'lime juice', 'boneless skinless chicken breast', 'salt and pepper', 'onion', 'garlic', 'chili powder', 'cumin', 'canned green chiles', 'canned chipotle chile', 'canned tomatoes', 'white corn tortilla', 'monterey jack cheese', 'cilantro']"
Summer Popsicle Series – Strawberry,['Mexican'],"['Baking', 'Milk, Eggs, Other Dairy', 'Produce', 'Produce', 'Milk, Eggs, Other Dairy']","['sugar', 'greek yogurt', 'lemon juice', 'strawberries', 'milk']"
Chicken Enchilada Chowder,['Mexican'],"['Pasta and Rice;Canned and Jarred', 'Canned and Jarred', 'Produce', 'Produce', 'Pasta and Rice;Ethnic Foods', 'Canned and Jarred', 'Milk, Eggs, Other Dairy', 'Canned and Jarred', 'Produce', 'Canned and Jarred;Produce;Ethnic Foods', 'Meat', 'Cheese', 'Cheese', 'Milk, Eggs, Other Dairy', 'Savory Snacks']","['black beans', 'fire roasted tomatoes', 'onion', 'orange pepper', 'green enchilada sauce', 'condensed cream of chicken soup', 'milk', 'creamed corn', 'green chili pepper', 'jalapeno pepper', 'boneless skinless chicken breast', 'monterey jack cheese', 'shredded cheddar cheese', 'sour cream', 'corn tortilla chips']"
Mexican Chicken Lettuce Wraps,['Mexican'],"['Meat', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Oil, Vinegar, Salad Dressing', 'Canned and Jarred', 'Produce', 'Produce', 'Produce', 'Produce', 'Produce']","['chicken breast', 'lime juice', 'cumin', 'chili powder', 'seasoned salt', 'garlic powder', 'olive oil', 'canned black beans', 'tomato', 'onion', 'red pepper', 'avocado', 'butter lettuce leaves']"
Enchiladas Verdes (Green Enchiladas),['Mexican'],"['Meat', 'Produce;Ethnic Foods;Spices and Seasonings', 'Oil, Vinegar, Salad Dressing', 'Milk, Eggs, Other Dairy', 'Baking', 'Produce', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Cheese', 'Cheese', 'Milk, Eggs, Other Dairy', 'Spices and Seasonings', 'Beverages']","['boneless skinless chicken breast', 'dried arbol chile', 'cooking oil', 'buttermilk', 'wheat flour', 'white onion', 'white corn tortilla', 'cheese', 'queso fresco', 'mexican crema', 'salt', 'water']"
Elk Sirloin Tacos With Pickled Jalapeños,['Mexican'],"['Meat', 'Produce', 'Produce', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Cheese', 'Produce', 'Pasta and Rice;Ethnic Foods', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce']","['elk', 'onion', 'tomato', 'jalapeno pepper', 'avocado', 'white corn tortilla', 'mexican cheese', 'cabbage', 'salsa', 'salt', 'garlic powder', 'ground chipotle chile pepper', 'cumin', 'red pepper']"
Cheesy Cowboy Quesadillas,['Mexican'],"['Produce', 'Milk, Eggs, Other Dairy', 'Canned and Jarred', 'Cheese', 'Spices and Seasonings', 'Produce', 'Cheese', 'Spices and Seasonings', 'Produce', 'Produce', 'Spices and Seasonings', 'Meat', 'Bakery/Bread;Pasta and Rice;Ethnic Foods']","['bell pepper', 'butter', 'canned black beans', 'cheese', 'chili powder', 'corn', 'cream cheese', 'cumin', 'garlic', 'onion', 'salt', 'shredded chicken', 'tortilla']"
Chavrie Guacamole,['Mexican'],"['Produce', 'Spices and Seasonings', 'Cheese', 'Produce', 'Produce', 'Spices and Seasonings', 'Condiments', 'Produce']","['avocado', 'cumin', 'goat cheese', 'lemon juice', 'lime juice', 'salt and pepper', 'hot sauce', 'tomato']"
Tex-Mex Polenta Rounds with Chunky Guacamole,['Mexican'],"['Produce', 'Spices and Seasonings', 'Cheese', 'Produce', 'Pasta and Rice;Ethnic Foods;Baking', 'Pasta and Rice;Ethnic Foods', 'Spices and Seasonings', 'Produce']","['avocado', 'chili powder', 'colby jack', 'green pepper', 'polenta', 'salsa', 'salt', 'yellow onion']"
Fresh Mex Salsa,['Mexican'],"['Canned and Jarred', 'Spices and Seasonings', 'Produce;Spices and Seasonings', 'Spices and Seasonings', 'Frozen', 'Produce', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Produce', 'Spices and Seasonings', 'Produce', 'Oil, Vinegar, Salad Dressing']","['canned black beans', 'chili powder', 'cilantro', 'cumin', 'frozen corn', 'green pepper', 'jalapeno pepper', 'lime', 'olive oil', 'red pepper', 'red onion', 'salt', 'tomato', 'distilled white vinegar']"
Salsa,['Mexican'],"['Gourmet', 'Produce', 'Pasta and Rice;Ethnic Foods', 'Pasta and Rice;Ethnic Foods', 'Produce', 'Pasta and Rice;Ethnic Foods', 'Pasta and Rice;Ethnic Foods', 'Pasta and Rice;Ethnic Foods']","['caviar', 'cherry tomato', 'salsa', 'salsa', 'peach', 'salsa', 'salsa', 'salsa verde']"
Artichoke croutons with guacamole,['Mexican'],"['Produce', 'Produce', 'Produce;Spices and Seasonings', 'Produce', 'Produce', 'Spices and Seasonings', 'Produce', 'Bakery/Bread', 'Produce', 'Produce', 'Milk, Eggs, Other Dairy', 'Oil, Vinegar, Salad Dressing', 'Oil, Vinegar, Salad Dressing', 'Produce;Baking']","['avocado', 'cherry tomato', 'parsley', 'onion', 'lemon juice', 'salt', 'bell pepper', 'french bread', 'garlic', 'artichoke', 'butter', 'balsamic vinegar', 'extra virgin olive oil', 'pine nuts']"
Rotisserie Chicken and Bean Tostadas,['Mexican'],"['Meat', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Canned and Jarred;Ethnic Foods', 'Produce', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Cheese', 'Produce', 'Refrigerated', 'Pasta and Rice;Ethnic Foods']","['rotisserie chicken', 'white corn tortilla', 'refried beans', 'tomato', 'jalapeno pepper', 'lettuce', 'cotija cheese', 'lime', 'guacamole', 'salsa']"
