,cuisine_SP,lime,garlic,tomato,cilantro,fresh pepper,bell pepper,avocado,beans,cumin,chili powder,salsa,corn,sour cream,canned pepper,paprika,mango,oregano,lemon,broth,orange
0,['Mexican'],0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
1,['Mexican'],0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2,['Mexican'],0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
3,['Mexican'],1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,['Mexican'],0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0
5,['Mexican'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,['Mexican'],0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
7,['Mexican'],0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8,['Mexican'],1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9,['Mexican'],1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,['Mexican'],1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11,['Mexican'],1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,['Mexican'],1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
13,['Mexican'],1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,['Mexican'],1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
15,['Mexican'],0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,['Mexican'],1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,['Mexican'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,['Mexican'],1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,['Mexican'],0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0
20,['Mexican'],1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,['Mexican'],1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
22,['Mexican'],1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,['Mexican'],1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
24,['Mexican'],1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,['Mexican'],0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
26,['Mexican'],1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
27,['Mexican'],1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,['Mexican'],0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0
29,['Mexican'],0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
30,['Mexican'],0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
31,['Mexican'],1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
32,['Mexican'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,['Mexican'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,['Mexican'],1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,['Mexican'],1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
36,['Mexican'],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,['Mexican'],1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,['Mexican'],1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
39,['Mexican'],0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0
40,['Mexican'],1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
41,['Mexican'],1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
42,['Mexican'],1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
43,['Mexican'],1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
44,['Mexican'],1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
45,['Mexican'],1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0
46,['Mexican'],0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,['Mexican'],1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
48,['Mexican'],0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,['Mexican'],1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
50,['Mexican'],1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
51,['Mexican'],1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
52,['Mexican'],1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
53,['Mexican'],0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
54,['Mexican'],1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55,['Mexican'],1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0
56,['Mexican'],0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
57,['Mexican'],1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0
58,['Mexican'],0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
59,['Mexican'],0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
60,['Mexican'],1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
61,['Mexican'],0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,['Mexican'],1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
63,['Mexican'],1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
64,['Mexican'],1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
65,['Mexican'],0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
66,['Mexican'],0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
67,['Mexican'],1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,['Mexican'],0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
69,['Mexican'],0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0
70,['Mexican'],0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
71,['Mexican'],0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
72,['Mexican'],1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
73,['Mexican'],0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
74,['Mexican'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,['Mexican'],1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
76,['Mexican'],1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
77,['Mexican'],0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
78,['Mexican'],0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,['Mexican'],1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,['Mexican'],0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,['Mexican'],0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
82,['Mexican'],0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
83,['Mexican'],0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
84,['Mexican'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,['Mexican'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,['Mexican'],1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
87,['Mexican'],1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
88,['Mexican'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,['Mexican'],0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
90,['Mexican'],1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
91,['Mexican'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,['Mexican'],0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
93,['Mexican'],0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
94,['Mexican'],1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
95,['Mexican'],0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
96,['Mexican'],1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
97,['Mexican'],0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
98,['Mexican'],0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
99,['Mexican'],1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
