cuisine_SP,onion,garlic,vanilla,lemon,bell pepper,tomato,chocolate,mushrooms,italian cheese,parsley,cinnamon,berries,corn,broth,ginger,lime,carrots,vinegar,thyme,basil,rice,fresh pepper,almonds,cilantro,potato,honey,wine,apple,pasta,orange,cocoa,chili powder,yogurt,bacon,hot sauce or salsa,banana,nutmeg,soy sauce,celery,cayenne,shallot,syrup,mediterranean cheese,mayonnaise,coconut,coffee,bay leaves,oregano,tomato sauce,paprika,prepared mustard,spinach,mint,avocado,rosemary,chives,pineapple,peanut butter,worcestershire sauce,cherry,curry,cabbage,turmeric,summer squash,barbecue sauce,dill,pear,mango,mustard seed,chickpea,cucumber,broccoli,coriander,cornmeal,eggplant,sage,cauliflower,grain,dates,olives,raisin,ketchup,italian cured meat,fresh chile,sesame seeds,clove,flaxseed,winter squash,kale,beer,cardomom,asparagus,allspice,capers,petite peas,agave,fennel,molasses,masala,watermelon,tofu,dried chile,puff pastry,artichoke,plantain,apricot,canned pumpkin,brussels sprouts,swiss chard,beets,peach,grapes,fish sauce,couscous,enchilada sauce,grits,seedsarugula,tarragon,leek,marjoram,liquid smoke,oats,brie,purple plum,snow peas,peppermint extract,sunflower kernels,rhubarb,wonton wrappers,polenta,lentils,hazelnuts,tahini,pumpkin pie spice,celery salt,pumpkin seeds,poppy seeds,horseradish,daikon radish,teriyaki sauce,apple juice,parsnip,blackeyed peas,hoisin sauce,saffron,asafoetida,creme fraiche,mexican cheese,celery seed,maple,tamari,marsala,herbes de provence,port,dulce de leche,fig,yam,chinese five spice,arrowroot,fenugreek,amaretto liqueur,water chestnuts,bran,quail,pita,whiskey,legumes,gochujang,xylitol,farro,mexican crema,hollandaise sauce,caramel sauce,green tea bag,masa harina,thai chili,coconut rum,tomatillos,dried currants,lemon grass,boquerones,bitters,chai spice,broccolini,guacamole,bourbon,amchoor,radish,ladyfingers,black bean sauce,tea,star anise,ajwain,watercress,chili sauce,anise,broccoli rabe,kelp,bok choy,guava,vodka,crepes,green grapes,caraway seeds,vegeta,egg noodles,banana liqueur,black tea bag,wasabi powder,miso,white grape juice,fresh lavender,korean bbq marinade,bottle gourd,grand marnier,sweet chili sauce,escarole,cassava,radicchio,moscato,lemon pepper,paneer,prunes,balsamic,hibiscus,tequila,sardines,turnip,pickle juice,gherkins,orange marmalade,stinging nettle,mini peppers,carob powder,soba noodles,zaatar,marzipan,orange bitters,matcha,pesto,rose water,matzo meal,quark,okra,pico de gallo,chili garlic sauce,tangerine,file powder,cracked wheat,eggnog,kefir,dandelion greens,harissa,sprouts,squash blossoms,grapefruit,tamarind pulp,savory,baharat,douchi,sucralose,jicama
African,22,22,0,0,10,22,0,0,0,0,0,0,0,0,10,0,0,0,22,0,12,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American,629,516,1067,424,355,119,398,209,56,254,610,120,197,130,178,50,111,235,19,37,34,89,153,65,219,215,98,470,111,167,322,63,84,184,130,55,244,13,107,134,107,108,168,177,140,196,38,58,80,79,149,38,29,76,37,83,28,43,74,74,30,18,28,60,31,21,85,9,68,43,31,22,7,11,19,0,45,18,66,47,83,48,0,25,0,65,44,62,21,24,22,0,61,37,0,37,26,57,0,29,46,11,42,8,39,30,42,28,32,32,0,36,0,19,0,8,0,24,7,0,19,26,12,0,0,33,13,19,0,7,21,35,9,16,11,18,15,20,0,0,26,0,0,8,0,0,7,0,0,31,0,8,22,16,11,17,28,14,14,0,0,0,26,0,25,0,0,0,24,0,0,24,24,0,11,0,13,0,0,0,0,0,10,0,0,0,0,8,0,0,7,0,0,16,0,16,0,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,11,11,0,10,0,0,10,0,10,10,0,0,0,0,0,0,0,8,0,0,8,8,0,0,8,0,0,0,0,7,0,7,0,0,0,0,0,0
Asian,456,512,143,131,163,25,0,145,6,69,33,160,121,87,278,124,257,95,30,108,332,68,37,88,36,118,80,9,6,38,0,66,20,25,24,47,0,366,48,28,7,6,6,41,26,7,16,6,0,13,54,38,54,0,8,34,47,23,32,21,36,58,27,26,35,0,0,10,16,27,15,58,0,0,7,0,10,0,9,12,0,54,0,13,68,0,15,13,0,9,0,0,0,0,37,8,0,16,0,0,30,8,0,0,0,0,0,0,0,0,18,16,58,0,0,0,0,0,0,0,19,6,0,0,36,0,9,0,44,0,0,0,0,0,0,0,0,0,27,25,0,0,13,17,0,0,0,0,21,0,30,0,0,0,0,0,0,14,0,0,0,27,0,0,0,0,0,24,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,17,0,6,0,0,16,0,0,15,15,0,0,0,0,0,13,0,0,0,0,0,0,0,12,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
Creole,50,50,196,20,36,40,196,0,19,8,0,0,0,25,0,0,10,0,40,0,40,10,11,0,0,24,0,0,0,38,0,10,29,0,27,45,0,0,40,10,0,0,0,10,11,0,15,9,21,10,0,17,0,27,0,0,0,29,14,10,0,0,4,0,0,10,0,21,0,0,0,0,0,10,10,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English,13,8,0,63,0,0,0,13,0,29,17,277,0,8,8,0,0,15,0,10,0,0,63,0,9,28,22,25,0,0,10,0,41,0,0,14,0,0,0,0,23,29,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,9,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,0,0,0,13,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
European,13,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,13,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,137,154,46,348,50,22,6,124,9,56,16,86,23,61,42,0,13,43,231,26,0,21,39,12,12,44,118,13,22,16,20,0,9,60,0,16,0,0,13,25,86,81,27,0,42,0,63,0,21,11,12,38,39,0,31,23,8,9,14,9,0,0,12,8,0,25,40,8,0,0,0,7,11,14,8,13,0,0,6,0,0,0,0,0,0,0,17,0,13,0,9,24,0,20,8,13,13,0,0,8,0,0,8,13,0,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,11,0,0,0,12,0,0,0,0,11,0,0,20,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greek,127,67,0,83,25,73,0,0,0,38,13,0,0,50,0,0,39,24,17,12,20,10,8,0,12,8,12,0,19,0,0,0,95,9,0,0,13,0,29,0,12,0,89,0,0,0,12,12,13,0,0,16,0,7,0,8,0,0,10,0,0,19,0,0,0,35,0,0,0,0,57,12,0,0,28,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Indian,151,241,0,65,0,102,0,151,0,0,62,0,21,40,173,14,0,0,13,12,24,59,28,125,51,9,0,0,0,0,0,76,137,0,0,0,23,0,0,34,19,0,0,0,7,0,0,13,42,30,0,0,0,0,13,0,0,0,0,0,93,0,82,0,0,0,0,0,15,16,0,0,74,0,24,0,11,0,0,8,7,0,0,8,0,14,0,0,0,0,37,0,0,0,0,0,29,0,89,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,7,0,0,0,0,0,8,0,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Irish,124,86,0,26,12,41,0,21,0,68,0,0,32,80,0,0,148,40,56,0,0,0,0,0,100,0,9,0,15,0,0,0,0,0,0,0,12,0,26,22,0,0,0,0,0,0,77,0,0,12,50,0,0,0,9,0,0,0,15,0,0,40,0,0,0,12,0,0,30,0,0,12,0,0,0,0,0,14,0,0,0,0,0,0,14,0,0,0,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,11,13,0,0,0,0,0,0,14,0,0,0,0,0,0,0,15,14,0,17,0,0,0,36,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italian,487,810,52,271,326,553,15,143,822,317,22,56,29,209,22,0,115,73,204,364,52,19,73,11,67,58,176,8,334,49,29,12,9,82,15,0,42,0,74,18,59,26,51,35,0,10,49,122,101,22,9,96,9,0,126,44,51,0,48,0,0,42,19,56,22,19,0,9,12,19,12,39,19,8,41,55,24,53,0,44,0,10,104,7,13,0,28,31,26,17,13,29,0,39,27,0,9,6,0,0,0,27,8,45,20,19,9,10,0,0,20,0,0,17,0,0,0,10,23,25,0,15,8,17,0,0,9,0,0,19,0,7,0,15,0,0,7,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,10,11,0,0,0,0,9,0,0,13,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,20,0,0,19,0,12,19,11,17,0,0,0,0,0,0,0,16,0,0,0,0,0,0,7,0,0,0,13,0,12,0,0,0,0,0,0,11,11,11,0,0,0,0,0,0,0,11,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,5,0
Mexican,601,355,131,65,260,338,13,324,12,72,137,56,202,62,31,449,65,88,0,44,90,194,22,311,8,52,35,0,11,58,33,179,0,6,197,0,43,0,0,47,38,29,0,68,20,11,10,68,17,63,7,0,133,164,0,9,60,0,0,32,0,13,0,26,11,12,0,91,13,19,31,0,23,13,0,0,10,35,14,10,20,0,0,50,10,17,0,0,8,8,18,19,15,0,0,8,0,0,0,20,0,39,6,0,0,0,8,0,0,12,0,0,0,11,54,10,0,0,0,0,0,0,0,0,10,0,0,0,0,17,0,0,0,0,0,7,0,0,10,0,0,0,0,7,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,24,0,0,0,6,0,9,22,11,10,0,0,0,0,19,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,0,12,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,6,6,0,0,0
Middle Eastern,0,35,0,35,0,0,0,11,0,11,9,0,0,0,11,0,0,15,0,0,0,0,0,0,0,9,0,0,0,0,0,11,0,9,15,0,0,0,0,11,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,11,0,0,0,0,0,0,11,0,15,0,0,0,0,35,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,15,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern,187,135,320,110,67,10,449,10,32,111,119,136,236,144,38,0,0,64,52,5,9,87,87,22,63,27,8,13,0,42,37,41,43,70,0,206,28,20,45,48,0,38,0,11,49,61,9,24,0,50,10,6,26,0,34,9,34,82,18,21,10,10,0,0,44,10,0,9,10,0,0,0,0,69,0,47,21,0,18,0,0,9,8,0,9,18,8,0,19,0,0,19,8,0,17,10,14,10,0,8,9,0,0,0,0,0,10,0,11,0,5,0,0,0,0,35,0,18,10,0,0,0,0,13,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,14,0,13,0,0,0,0,0,0,0,8,0,0,0,14,0,9,0,0,0,0,13,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,13,0,0,0,0,12,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Spanish,30,18,0,7,7,30,0,0,0,18,0,0,0,7,0,0,7,0,0,0,21,16,0,0,0,0,7,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
